Frame Count;Start Time;End Time
1566;2024-01-15 22:43:14.052;
1567;2024-01-15 22:43:14.064;
1568;2024-01-15 22:43:14.077;
1569;2024-01-15 22:43:14.089;
1570;2024-01-15 22:43:14.102;
1571;2024-01-15 22:43:14.115;
1572;2024-01-15 22:43:14.127;
1573;2024-01-15 22:43:14.140;
1574;2024-01-15 22:43:14.153;
1575;2024-01-15 22:43:14.166;
1576;2024-01-15 22:43:14.180;
1577;2024-01-15 22:43:14.194;
1578;2024-01-15 22:43:14.204;
1579;2024-01-15 22:43:14.218;
1580;2024-01-15 22:43:14.232;
1581;2024-01-15 22:43:14.244;
1582;2024-01-15 22:43:14.255;
1583;2024-01-15 22:43:14.268;
1584;2024-01-15 22:43:14.281;
1585;2024-01-15 22:43:14.294;
1586;2024-01-15 22:43:14.306;
1587;2024-01-15 22:43:14.319;
1588;2024-01-15 22:43:14.331;
1589;2024-01-15 22:43:14.346;
1590;2024-01-15 22:43:14.360;
1591;2024-01-15 22:43:14.377;
1592;2024-01-15 22:43:14.386;
1593;2024-01-15 22:43:14.400;
1594;2024-01-15 22:43:14.414;
1595;2024-01-15 22:43:14.424;
1596;2024-01-15 22:43:14.438;
1597;2024-01-15 22:43:14.451;
1598;2024-01-15 22:43:14.464;
1599;2024-01-15 22:43:14.479;
1600;2024-01-15 22:43:14.496;
1601;2024-01-15 22:43:14.511;
1602;2024-01-15 22:43:14.528;
1603;2024-01-15 22:43:14.542;
1604;2024-01-15 22:43:14.553;
1605;2024-01-15 22:43:14.565;
1606;2024-01-15 22:43:14.579;
1607;2024-01-15 22:43:14.592;2024-01-15 22:43:14.655
1608;2024-01-15 22:43:14.603;
1609;2024-01-15 22:43:14.617;
1610;2024-01-15 22:43:14.631;
1611;2024-01-15 22:43:14.644;
1612;2024-01-15 22:43:14.655;
1613;2024-01-15 22:43:14.669;
1614;2024-01-15 22:43:14.681;
1615;2024-01-15 22:43:14.694;
1616;2024-01-15 22:43:14.707;
1617;2024-01-15 22:43:14.719;
1618;2024-01-15 22:43:14.734;
1619;2024-01-15 22:43:14.747;
1620;2024-01-15 22:43:14.760;
1621;2024-01-15 22:43:14.772;
1622;2024-01-15 22:43:14.783;
1623;2024-01-15 22:43:14.796;
1624;2024-01-15 22:43:14.811;
1625;2024-01-15 22:43:14.821;
1626;2024-01-15 22:43:14.833;
1627;2024-01-15 22:43:14.846;
1628;2024-01-15 22:43:14.860;
1629;2024-01-15 22:43:14.874;
1630;2024-01-15 22:43:14.885;
1631;2024-01-15 22:43:14.900;
1632;2024-01-15 22:43:14.912;
1633;2024-01-15 22:43:14.922;
1634;2024-01-15 22:43:14.937;
1635;2024-01-15 22:43:14.949;
1636;2024-01-15 22:43:14.963;
1637;2024-01-15 22:43:14.977;
1638;2024-01-15 22:43:14.988;
1639;2024-01-15 22:43:15.003;
1640;2024-01-15 22:43:15.016;
1641;2024-01-15 22:43:15.029;
1642;2024-01-15 22:43:15.044;
1643;2024-01-15 22:43:15.055;
1644;2024-01-15 22:43:15.069;
1645;2024-01-15 22:43:15.081;
1646;2024-01-15 22:43:15.093;2024-01-15 22:43:15.157
1647;2024-01-15 22:43:15.106;
1648;2024-01-15 22:43:15.120;
1649;2024-01-15 22:43:15.135;
1650;2024-01-15 22:43:15.147;
1651;2024-01-15 22:43:15.159;
1652;2024-01-15 22:43:15.171;
1653;2024-01-15 22:43:15.184;
1654;2024-01-15 22:43:15.199;
1655;2024-01-15 22:43:15.211;
1656;2024-01-15 22:43:15.222;
1657;2024-01-15 22:43:15.237;
1658;2024-01-15 22:43:15.249;
1659;2024-01-15 22:43:15.263;
1660;2024-01-15 22:43:15.276;
1661;2024-01-15 22:43:15.286;
1662;2024-01-15 22:43:15.300;
1663;2024-01-15 22:43:15.313;
1664;2024-01-15 22:43:15.325;
1665;2024-01-15 22:43:15.343;
1666;2024-01-15 22:43:15.354;
1667;2024-01-15 22:43:15.368;
1668;2024-01-15 22:43:15.381;
1669;2024-01-15 22:43:15.394;
1670;2024-01-15 22:43:15.406;
1671;2024-01-15 22:43:15.418;
1672;2024-01-15 22:43:15.432;
1673;2024-01-15 22:43:15.445;
1674;2024-01-15 22:43:15.457;
1675;2024-01-15 22:43:15.470;
1676;2024-01-15 22:43:15.484;
1677;2024-01-15 22:43:15.497;
1678;2024-01-15 22:43:15.511;
1679;2024-01-15 22:43:15.520;
1680;2024-01-15 22:43:15.535;
1681;2024-01-15 22:43:15.548;
1682;2024-01-15 22:43:15.563;
1683;2024-01-15 22:43:15.579;
1684;2024-01-15 22:43:15.597;
1685;2024-01-15 22:43:15.614;
1686;2024-01-15 22:43:15.628;
